Title: A Companionship Study of the Hipparcos-Gaia Catalog of Accelerations using Direct Imaging with NIRC2 at Keck
Authors: Schonhut-Stasik J.S., Dupuy T.
Table: Astrometric Accelerations for All HGCA-KOA Stars 
================================================================================
Column	Parameter			Unit
--------------------------------------------------------------------------------
1	HIP ID				dimensionless
2	RA Acceleration 		m/s/yr	
3	RA Acceleration error		m/s/yr
4	Dec Acceleration 		m/s/yr
5	Dec Acceleration error		m/s/yr
6	Astrometric acceleration	m/s/yr
7	Astrometric acceleration error	m/s/yr
--------------------------------------------------------------------------------
hip_id,accel_ra,ra_err,accel_dec,dec_err,acceleration,accel_err
108473,-21.25,3.79,120.83,2.75,122.69,2.76
1602,173.94,28.72,-345.55,21.17,386.86,22.40
7918,40.20,3.16,-47.03,2.34,61.87,2.66
102222,320.97,17.15,-108.37,6.66,338.77,15.34
72896,168.56,4.39,-70.26,2.52,182.62,4.01
18370,-426.51,124.26,581.28,67.33,720.97,82.49
68722,-105.77,15.21,-366.53,11.64,381.48,12.10
114834,-64.33,6.58,-53.25,3.83,83.51,5.95
104353,306.39,16.97,-91.59,8.52,319.79,15.83
14232,-243.30,5.89,-33.00,2.83,245.53,5.95
72944,7.52,0.58,9.81,0.41,12.37,0.49
33109,16.85,2.03,69.38,1.15,71.40,1.29
14239,17.06,6.99,62.11,4.39,64.41,4.81
68756,-83.18,40.48,-136.11,19.73,159.52,30.34
77163,89.45,12.82,-78.83,9.70,119.23,11.35
102295,-16.43,8.31,78.78,5.15,80.47,5.13
39417,-7.60,3.75,14.94,1.41,16.76,1.51
33142,-144.58,5.20,42.21,2.89,150.62,4.92
12184,-100.18,2.36,29.47,1.55,104.43,2.26
83458,233.26,33.80,-151.86,19.11,278.34,28.51
85576,-36.33,17.74,65.29,10.36,74.72,11.55
3850,22.99,4.14,-12.99,2.79,26.41,3.76
102357,128.50,23.79,195.95,12.31,234.32,18.34
20591,-53.18,5.70,-323.24,2.36,327.59,2.84
49969,63.80,5.08,26.64,2.97,69.14,4.99
20605,1029.53,221.67,76.79,71.71,1032.39,224.86
70950,11.13,0.62,39.01,0.58,40.57,0.58
39506,21.43,3.19,-25.50,1.25,33.31,1.80
114984,109.91,24.84,51.27,10.69,121.28,24.57
85653,-22.29,0.98,11.25,0.51,24.96,0.86
8109,62.40,2.37,148.31,1.31,160.91,1.64
39522,-16.68,19.51,-123.68,7.84,124.80,9.23
85667,-35.51,20.71,159.63,12.53,163.53,12.48
115004,-292.78,4.69,-261.15,2.13,392.33,4.19
79399,166.64,16.93,-130.80,7.80,211.85,12.65
108706,3.61,0.88,-0.91,0.58,3.72,0.85
3937,-21.83,2.69,23.11,1.65,31.79,2.07
20674,381.87,101.94,212.54,40.26,437.03,99.66
20679,-476.94,49.91,314.24,23.65,571.16,39.87
8159,6.25,1.39,3.16,0.92,7.01,1.34
79431,3.80,1.96,-6.82,0.93,7.81,1.06
87813,95.12,9.74,-45.54,5.23,105.46,8.62
77344,23.54,5.34,190.97,3.14,192.41,3.28
73156,20.51,8.84,-66.67,6.54,69.76,6.66
29150,-69.98,5.66,45.65,6.08,83.55,5.78
79472,-439.73,4.82,123.13,2.88,456.65,4.60
73184,-3.69,0.60,2.74,0.32,4.59,0.48
20741,-21.41,5.37,-57.08,1.51,60.96,3.23
117186,-13.80,6.63,-35.77,2.22,38.34,4.06
106701,296.13,56.77,-197.49,32.33,355.94,47.72
24957,-1167.12,327.12,-487.07,144.99,1264.68,325.64
66908,9.02,5.94,-23.55,4.45,25.21,4.59
4041,275.81,8.24,233.24,3.73,361.21,7.44
20777,-106.44,65.23,-248.62,36.22,270.45,45.52
39667,22.00,10.92,167.79,5.75,169.23,6.16
20782,-147.26,60.52,-131.29,34.85,197.28,53.91
43853,27.06,4.10,-23.42,1.66,35.79,2.80
50156,151.66,3.74,-216.56,2.80,264.39,3.07
71142,643.97,120.05,405.41,72.39,760.95,113.29
20812,255.73,12.26,-234.22,6.05,346.78,8.90
18719,76.82,15.25,346.87,7.15,355.28,8.57
117258,87.38,3.68,284.65,2.16,297.76,2.47
41802,88.36,3.32,-52.90,1.90,102.99,2.86
102595,62.63,5.37,61.33,2.71,87.66,4.68
10386,46.82,13.32,-23.22,7.36,52.26,11.79
22919,-74.85,1.77,-52.80,0.70,91.60,1.67
22925,44.26,10.46,7.70,4.43,44.93,10.62
12489,23.67,14.86,-42.03,9.52,48.24,10.48
41820,-168.08,8.78,443.09,6.19,473.90,6.40
106783,11.49,9.19,1.51,4.94,11.59,9.26
92161,339.99,7.62,2.20,4.48,340.00,7.62
41824,25.06,2.19,-53.13,1.14,58.74,1.23
71193,1.99,1.09,5.79,0.99,6.12,1.00
83770,64.24,2.23,-71.01,1.02,95.75,1.44
102626,420.50,16.26,1.54,7.74,420.50,16.27
10416,-2.64,1.28,-5.09,0.91,5.73,1.03
106811,13.44,1.03,27.36,1.91,30.48,1.86
102642,-56.42,1.70,115.95,0.98,128.95,1.06
43948,33.31,13.75,116.21,6.68,120.89,8.29
25082,105.03,10.61,36.20,4.92,111.10,10.63
29310,570.61,88.78,-213.82,46.13,609.35,81.09
18806,-13.71,6.93,9.49,2.34,16.67,4.94
115250,38.72,16.34,-2.93,7.46,38.83,16.12
96395,82.86,0.79,-30.07,0.44,88.15,0.73
94620,-0.85,4.96,-2.28,3.42,2.43,3.75
58876,1.09,1.67,0.28,0.95,1.13,1.68
50473,4.23,1.63,-0.64,0.97,4.28,1.60
50478,-2.38,7.36,-0.69,4.82,2.48,7.31
79931,83.26,88.20,-33.70,35.59,89.82,76.81
88349,-0.26,4.49,2.65,2.75,2.66,2.72
75729,4.78,7.23,1.18,3.47,4.92,7.30
94645,0.85,2.13,-0.23,1.25,0.88,2.03
27384,-9.49,4.44,0.73,2.83,9.52,4.41
50496,-6.37,6.41,-7.68,4.22,9.98,5.45
10559,-81.11,26.39,22.33,13.55,84.12,24.86
42090,-3.73,10.23,-2.12,4.20,4.29,9.95
61020,-16.28,7.71,5.16,4.52,17.08,7.28
113579,-2.94,2.03,0.75,0.92,3.04,1.90
77858,-2.71,26.43,26.24,12.21,26.38,11.58
23155,-1.53,3.39,-0.54,1.53,1.62,3.40
65224,5.75,5.01,-4.05,2.56,7.03,4.02
29510,-0.49,9.01,-7.14,4.69,7.15,4.85
61028,2.73,2.67,-1.30,1.61,3.02,2.42
18946,-7.50,4.22,3.69,1.50,8.36,3.44
100970,-1.92,1.52,4.14,0.93,4.56,0.99
109378,0.36,0.98,-0.40,0.58,0.54,0.73
18955,2.23,10.02,-0.03,3.61,2.23,9.98
98872,-4.64,7.35,4.18,2.95,6.25,4.91
115692,37.33,18.83,13.66,8.72,39.75,18.83
6379,-0.09,0.52,0.03,0.28,0.10,0.48
90485,-8.51,3.58,-0.42,1.87,8.52,3.60
42112,-48.71,3.61,34.53,1.36,59.71,2.63
79977,-4.24,8.63,0.14,4.11,4.24,8.59
75761,-1.87,6.54,-1.57,4.89,2.44,6.02
54745,-1.55,1.20,-0.66,0.64,1.69,1.18
109388,0.37,0.52,0.25,0.32,0.45,0.49
111497,8.38,22.38,15.11,13.17,17.28,16.92
14791,2.28,1.87,-9.95,1.99,10.20,1.98
8497,-5.38,10.14,-17.53,4.83,18.34,6.17
88395,-0.57,4.88,1.13,3.96,1.26,4.12
84183,-3.82,7.49,11.34,4.07,11.97,4.13
117809,-1.52,3.12,-1.48,1.43,2.12,2.73
48423,1.17,1.25,-0.90,0.69,1.48,1.01
115712,24.05,15.28,25.24,8.42,34.87,13.10
79992,7.74,44.08,104.30,24.79,104.59,25.48
35842,4.14,8.49,-12.58,4.49,13.25,4.52
21086,0.69,0.93,0.37,0.59,0.78,0.90
50548,-4.58,36.49,28.41,28.22,28.78,28.27
77900,-8.36,16.69,-9.68,6.58,12.79,13.94
84195,0.61,0.57,-0.31,0.43,0.68,0.54
4297,-1.70,7.85,-0.25,3.22,1.72,7.98
33750,27.86,11.57,-21.17,7.20,34.99,9.73
80003,-146.00,50.90,-69.16,32.04,161.55,49.42
37943,-24.33,21.01,-19.52,8.18,31.19,19.36
92614,-21.70,16.59,10.84,10.20,24.25,14.99
69475,7.01,8.09,-10.63,4.82,12.73,5.58
4303,-5.47,9.91,-8.35,5.32,9.98,7.67
12711,-54.18,56.11,-33.54,18.07,63.72,54.90
58968,1.34,4.04,-0.69,1.66,1.50,3.35
98912,-28.48,11.32,-16.96,5.69,33.15,10.82
8525,152.45,27.80,161.55,14.24,222.13,23.73
111534,9.32,8.28,-25.95,4.03,27.57,4.06
42146,-2.17,10.70,-6.99,5.87,7.32,6.93
111538,-4.75,22.09,10.40,16.51,11.43,17.27
21109,-17.75,13.29,-9.81,4.63,20.28,13.12
10626,5.95,3.73,-1.90,2.04,6.24,3.49
31671,-5.49,4.82,2.37,2.84,5.98,4.40
16924,1.63,6.84,-2.47,3.24,2.96,3.94
105232,-3.10,2.83,3.03,1.71,4.33,2.21
94734,0.18,13.26,-23.48,7.18,23.48,7.16
107336,16.36,7.13,1.82,4.45,16.46,7.16
37980,3.89,8.64,-4.62,3.33,6.03,4.86
75829,-0.42,1.07,-0.45,0.52,0.62,0.91
56920,8.22,4.29,0.92,2.53,8.27,4.31
2225,-100.32,12.04,-130.79,4.57,164.83,9.68
107350,-0.30,1.22,-0.65,0.72,0.72,0.88
14862,-7.27,10.03,1.66,5.24,7.46,9.59
77960,4.59,8.81,-4.86,3.62,6.68,5.49
96867,52.45,32.81,15.05,17.48,54.57,32.87
29606,-7.61,9.27,-13.71,5.01,15.68,6.87
56936,-0.73,1.17,-1.86,0.90,2.00,0.96
75848,2.15,5.21,-2.29,3.69,3.15,4.34
10670,1.71,15.24,6.27,8.51,6.50,9.75
109472,-32.19,36.85,30.06,21.56,44.05,28.73
101070,-6.11,2.79,0.55,1.63,6.13,2.76
86375,7.45,3.25,1.32,1.80,7.57,3.27
82162,30.69,16.97,-6.83,7.89,31.44,16.12
21159,32.31,36.21,-3.10,12.12,32.46,35.29
84260,-16.26,51.19,-6.87,25.75,17.65,50.56
84262,-5.70,6.38,-11.05,4.91,12.43,5.34
10679,6.28,4.88,-8.38,3.49,10.47,3.93
